Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0287154638056784,0.0247731094216198,0.035584269509276,0,0,0,0.382085922418597,0.000410490029616126,-3.63493037242176E-10,0.000105450395848999,0.000858141213625033,-4.7056833493851E-07,0.000481448906035878,0,0,0,0,0,0,package://2DOF_Physical/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2DOF_Physical/meshes/base_link.STL,,Assem1^2DOF_Physical-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0744903369422901,0.0426388780495074,0.00449405457409234,0,0,0,0.216695042917165,0.000130440591615854,5.70003393072442E-05,1.47989875138492E-06,0.000175918627847008,-1.28953663827066E-06,0.000157070086725617,0,0,0,0,0,0,package://2DOF_Physical/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://2DOF_Physical/meshes/link1.STL,,Assem2^2DOF_Physical-1,Coordinate System1,Axis_rev_1,rev_1,continuous,0.028716,-0.035372,0.064707,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link2,-0.0324493531460042,0.029972598412306,0.0123563925629702,0,0,0,0.0273014552676097,1.37058949343199E-05,1.18686760093769E-05,1.29144870428884E-06,1.55925483685857E-05,-1.19287660232059E-06,2.86373762930093E-05,0,0,0,0,0,0,package://2DOF_Physical/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://2DOF_Physical/meshes/link2.STL,,link2_2DOF-1,Coordinate System2,Axis_rev_2,rev_2,continuous,-0.079154,0.062411,0.0045,-1.5708,0,-0.51329,link1,0,0,1,,,,,,,,,,,,
